state,county,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Unemployment Count,Race: White,Race: African American,Race: Hispanic or Latino,"US Citizen, born in US","US Citizen, by naturalization"
 Alabama,Autauga County,55200,37.8,58786,29372,8422,1065,42437,10565,1528,53385,579
 Alabama,Baldwin County,208107,42.8,55962,31203,21653,4343,179526,19764,9353,198875,3319
 Alabama,Barbour County,25782,39.9,34186,18461,6597,918,12216,12266,1106,25064,280
 Alabama,Bibb County,22527,39.9,45340,20199,2863,658,17268,5018,547,22083,129
 Alabama,Blount County,57645,40.8,48695,22656,8220,909,55054,862,5261,54877,876
 Alabama,Bullock County,10352,39.6,32152,20346,3110,490,2276,7893,51,10193,96
 Alabama,Butler County,20025,40.7,39109,20430,4640,567,10414,9055,67,19683,139
 Alabama,Calhoun County,115098,39.7,45197,24706,20819,4628,85558,23676,4203,110649,1497
 Alabama,Chambers County,33826,43,39872,22827,5531,773,19483,13319,768,33202,74
 Alabama,Cherokee County,25853,45.9,41014,23356,3827,581,23997,1267,398,25608,130
 Alabama,Chilton County,43930,38.6,45182,24611,8034,1336,36599,4148,3416,41656,346
 Alabama,Choctaw County,13075,46.1,34884,22182,2864,504,7420,5590,73,12983,40
 Alabama,Clarke County,24387,42.3,36127,21111,6088,1283,12935,11173,48,24275,67
 Alabama,Clay County,13378,43.7,41225,23147,2405,378,11106,1977,415,13117,85
 Alabama,Cleburne County,14938,42.5,40188,21989,2719,458,14068,393,362,14614,48
 Alabama,Coffee County,51288,39.3,53155,27577,7604,1371,38923,8829,3549,48089,824
 Alabama,Colbert County,54495,42.7,47558,24918,8785,1397,43288,8615,1349,53304,349
 Alabama,Conecuh County,12514,44.8,33177,17542,2752,505,6369,5971,105,12388,32
 Alabama,Coosa County,10855,46.9,38301,22963,1459,253,7133,3713,50,10727,3
 Alabama,Covington County,37351,43.9,40601,23071,6702,1428,31624,4826,604,36917,141
 Alabama,Crenshaw County,13865,41.5,39812,23353,2148,347,9938,3198,275,13562,78
 Alabama,Cullman County,82313,40.6,42558,22980,12831,1903,78392,998,3543,80037,746
 Alabama,Dale County,49255,37.5,45960,23837,8798,1738,35889,9749,3070,46154,704
 Alabama,Dallas County,40029,39.5,31602,18910,12247,1906,11257,28210,412,39421,162
 Alabama,DeKalb County,71200,39.3,39233,21004,15500,1351,60972,1004,10220,65531,980
 Alabama,Elmore County,81212,38.6,59347,27475,9462,2219,60824,17402,2347,78853,676
 Alabama,Escambia County,37328,39.7,35000,18161,8268,1895,23095,11920,838,36718,234
 Alabama,Etowah County,102939,41.3,44023,24065,17524,2945,82710,16212,3880,99266,1097
 Alabama,Fayette County,16585,43.8,37458,21862,3258,483,14095,1978,285,16394,127
 Alabama,Franklin County,31542,37.6,40459,19776,6299,840,26467,1388,5333,28496,505
 Alabama,Geneva County,26491,42.4,38142,20471,6282,945,22871,2529,1027,25734,172
 Alabama,Greene County,8426,42.5,21804,14209,3225,415,1445,6713,143,8415,5
 Alabama,Hale County,14887,39.2,30571,20272,3809,686,5898,8748,130,14750,57
 Alabama,Henry County,17124,44.1,48610,24069,2270,494,12179,4749,448,16864,44
 Alabama,Houston County,104352,39.8,45496,25990,18913,3354,72387,28078,3437,101046,1129
 Alabama,Jackson County,52094,43.3,39816,21608,10418,1277,47412,1799,1505,51005,451
 Alabama,Jefferson County,659892,37.7,51979,30657,109707,23663,342591,281702,25048,628921,8951
 Alabama,Lamar County,13933,44.5,36756,21666,2916,465,12187,1558,218,13834,18
 Alabama,Lauderdale County,92585,41.4,46265,27189,13703,2267,80561,9364,2412,90248,668
 Alabama,Lawrence County,33171,42.2,44515,23557,5508,766,25942,3627,707,32830,104
 Alabama,Lee County,159287,31.4,48056,26960,32815,4411,111986,36675,5865,148108,2693
 Alabama,Limestone County,93052,39.5,56460,27699,12384,2957,75143,12468,5479,88627,1402
 Alabama,Lowndes County,10236,41.6,30833,19491,2820,450,2546,7601,70,10127,17
 Alabama,Macon County,19054,38,32074,20125,4302,1006,3025,15740,328,18733,82
 Alabama,Madison County,357560,38.5,63417,35526,45960,10632,243835,86012,17294,331090,9690
 Alabama,Marengo County,19538,42.7,32809,23056,4201,706,8855,10518,115,19435,12
 Alabama,Marion County,29965,44.3,35392,21391,5144,708,27886,1097,752,29549,186
 Alabama,Marshall County,95145,38.7,42490,23833,20354,2091,87887,2456,12961,88094,1165
 Alabama,Mobile County,414659,37.6,46166,25215,78208,11514,243658,147434,11973,397629,7186
 Alabama,Monroe County,21512,42.3,30141,18890,6561,1359,11814,8927,302,21362,97
 Alabama,Montgomery County,226941,36.2,47990,28008,45479,8243,82862,130866,7749,213865,3764
 Alabama,Morgan County,119122,40.4,49751,25907,17920,2815,95966,15228,9691,112778,1281
 Alabama,Perry County,9486,37.7,23561,13678,3616,326,2838,6588,89,9323,85
 Alabama,Pickens County,20298,42.4,37458,22417,4430,842,11362,8367,932,19470,63
 Alabama,Pike County,33403,30.8,34678,21137,8374,1226,18960,12697,263,31831,222
 Alabama,Randolph County,22574,42.7,41449,23247,3912,451,17443,4547,665,22134,128
 Alabama,Russell County,58213,35.9,40978,22055,11491,2000,29256,24957,3120,55657,628
 Alabama,Shelby County,211261,38.9,75761,36576,17557,4411,169598,25455,12125,198145,4007
 Alabama,St. Clair County,87306,40.3,54887,24861,11268,2188,76224,8252,2089,85476,613
 Alabama,Sumter County,12985,35.8,23132,15882,3792,580,3201,9346,13,12649,12
 Alabama,Talladega County,80565,41.1,41012,22498,15401,3004,51720,26010,1818,78597,506
 Alabama,Tallapoosa County,40636,43.7,43361,23655,8131,1755,28251,11145,954,39852,288
 Alabama,Tuscaloosa County,206213,32.7,52221,26064,34058,6257,132877,65260,7437,196895,2434
 Alabama,Walker County,64493,42.4,41748,22772,12525,2375,58547,4007,1545,63311,348
 Alabama,Washington County,16643,43.6,40794,22776,3446,517,11003,4086,182,16425,114
 Alabama,Wilcox County,10809,40.8,27237,16584,3254,530,2903,7511,70,10707,28
 Alabama,Winston County,23875,44.9,38504,21799,3817,740,23001,90,734,23536,74
 Arizona,Apache County,71522,34.7,32963,14499,24761,2505,16362,513,4445,70167,374
 Arizona,Cochise County,126279,40.6,48649,25436,20192,3342,107243,4734,44598,108107,7585
 Arizona,Coconino County,140217,30.6,57616,26387,24168,5390,89502,1869,19666,132018,2752
 Arizona,Gila County,53400,49.7,42092,22939,11807,2052,41095,317,9992,51122,876
 Arizona,Graham County,37879,33.3,51352,18113,7122,1329,29917,752,12453,36220,430
 Arizona,Greenlee County,9504,34.2,60962,25349,1115,282,8642,213,4414,9144,100
 Arizona,La Paz County,20701,56,33333,21845,4507,562,15914,170,5614,18349,708
 Arizona,Maricopa County,4253913,36.1,61606,31697,618496,117059,3301814,232690,1311091,3559744,253635
 Arizona,Mohave County,206064,50.9,43266,24829,35296,6954,186510,2262,33481,190265,6716
 Arizona,Navajo County,108705,36.4,40054,18333,30163,5791,51934,964,12329,105013,1582
 Arizona,Pima County,1019722,38.3,51037,28480,176222,36219,777452,35973,376826,869948,63511
 Arizona,Pinal County,419721,38.9,55550,23653,55859,12785,336611,18782,125373,375624,16451
 Arizona,Santa Cruz County,46584,36.6,40467,20324,11080,1565,39656,248,38899,30649,8451
 Arizona,Yavapai County,224645,52.9,50180,28829,30813,6076,205647,1274,32461,207796,7220
 Arizona,Yuma County,207829,34.3,44058,21178,40591,8303,155842,4498,131670,149300,24435
 Arkansas,Arkansas County,18124,41.4,39466,24714,3563,520,13146,4677,554,17920,40
 Arkansas,Ashley County,20537,41.7,39635,22052,4110,573,14737,5273,1097,19817,79
 Arkansas,Baxter County,41219,52.1,41481,26004,5676,736,39814,74,927,40214,569
 Arkansas,Benton County,258980,35.3,64141,32624,25356,3498,227609,4359,42577,226353,8717
 Arkansas,Boone County,37288,42.4,43262,23998,5455,740,35843,156,899,36686,227
 Arkansas,Bradley County,10948,40.2,39510,22411,2513,368,7158,3176,1654,10204,229
 Arkansas,Calhoun County,5202,45.5,44022,24509,788,141,3962,1125,206,5150,25
 Arkansas,Carroll County,27887,44.8,43505,24185,4141,590,25826,335,4182,25416,651
 Arkansas,Chicot County,10826,42.7,33051,21843,2962,385,4733,5861,580,10567,73
 Arkansas,Clark County,22385,34.1,39752,21571,3887,290,15939,5374,1050,21646,200
 Arkansas,Clay County,15061,43,33935,20353,3352,332,14443,93,300,14934,73
 Arkansas,Cleburne County,25230,49.4,43391,26620,3631,502,24473,140,618,24747,157
 Arkansas,Cleveland County,8226,42.7,42460,23538,1574,187,7106,924,154,8043,49
 Arkansas,Columbia County,23892,36,36148,21372,5563,1075,14476,8351,650,23328,143
 Arkansas,Conway County,20906,41.7,41196,23750,3772,559,17805,2282,812,20347,132
 Arkansas,Craighead County,105701,34.1,45868,26432,18667,3029,83979,14622,5253,100665,729
 Arkansas,Crawford County,62472,38.7,46619,23851,9830,1386,55196,978,4715,59744,795
 Arkansas,Crittenden County,49013,35.1,39002,21882,10709,2123,21763,23789,1210,48051,210
 Arkansas,Cross County,16998,41.2,43838,24486,2793,458,12695,3308,330,16919,16
 Arkansas,Dallas County,7432,43.7,36628,19401,948,152,4123,3093,229,7367,57
 Arkansas,Desha County,11887,39.1,30234,18475,3401,533,5855,5596,698,11415,91
 Arkansas,Drew County,18502,37,43014,23005,3735,479,12701,5333,609,18239,88
 Arkansas,Faulkner County,122416,32.5,51930,26163,19697,2818,100652,13904,4956,117766,1148
 Arkansas,Franklin County,17780,41.3,39463,20262,3823,213,16743,172,545,17362,258
 Arkansas,Fulton County,12139,48.1,36184,19413,2844,284,11686,71,183,11966,65
 Arkansas,Garland County,98296,44.9,43146,26791,17961,3076,84747,8031,5434,94107,1415
 Arkansas,Grant County,18086,40.4,51920,25907,2589,579,17182,541,481,17819,64
 Arkansas,Greene County,44623,37.9,47497,22874,7127,1420,42566,720,1244,43990,30
 Arkansas,Hempstead County,22018,39.9,41355,20168,5271,518,13067,6713,2786,20723,250
 Arkansas,Hot Spring County,33520,41.3,41262,21064,5518,1069,28346,4032,1148,32971,155
 Arkansas,Howard County,13389,38.8,35900,24590,2526,379,8964,2761,1631,12537,161
 Arkansas,Independence County,37264,39.4,43523,23426,6254,793,34252,693,2305,35962,379
 Arkansas,Izard County,13559,48,40218,20501,2156,476,12835,254,302,13231,72
 Arkansas,Jackson County,17225,39.9,33174,19848,3313,396,13516,2143,485,17056,55
 Arkansas,Jefferson County,70424,38.8,38289,20925,14896,2888,28231,39889,1432,69070,416
 Arkansas,Johnson County,26291,38,37170,19681,5728,441,24033,424,3627,23611,674
 Arkansas,Lafayette County,6915,46.3,32412,26005,1502,163,4196,2533,172,6778,35
 Arkansas,Lawrence County,16669,41.1,38528,20451,2846,513,16127,173,240,16469,24
 Arkansas,Lee County,9398,41.8,28367,15771,2009,488,3978,5313,167,9304,13
 Arkansas,Lincoln County,13695,38.6,45166,13636,1650,122,9104,4292,516,13393,30
 Arkansas,Little River County,12417,42.6,45388,26216,1913,582,9128,2762,107,12363,23
 Arkansas,Logan County,21757,41.5,39748,22221,4514,837,19905,293,642,21301,91
 Arkansas,Lonoke County,72206,36.1,57509,26222,8733,1418,64282,4379,3196,69512,723
 Arkansas,Madison County,16076,42.6,43891,23875,2680,447,15105,87,896,15401,248
 Arkansas,Marion County,16438,51.7,35518,19710,3355,455,15805,145,366,16111,113
 Arkansas,Miller County,43759,38.9,41903,22938,8985,1553,30846,10844,1405,42871,247
 Arkansas,Mississippi County,42831,36.2,37237,20879,10825,1781,25863,15070,1728,42021,267
 Arkansas,Monroe County,7249,47,35190,22274,2015,218,4058,2897,199,7191,40
 Arkansas,Montgomery County,8993,50,37855,22347,1666,197,8205,20,383,8679,78
 Arkansas,Nevada County,8440,44.8,37635,18618,2279,186,5348,2927,24,8351,44
 Arkansas,Newton County,7848,49.1,39896,18907,1103,62,7435,2,73,7781,36
 Arkansas,Ouachita County,24106,42.3,34887,21520,5722,769,13655,9904,546,23893,41
 Arkansas,Perry County,10322,43.5,46071,21699,1729,275,9578,196,297,10214,30
 Arkansas,Phillips County,19034,38.5,29263,18402,6252,801,6893,11921,343,18908,70
 Arkansas,Pike County,10808,42.8,37406,21919,1758,216,9740,355,703,10363,131
 Arkansas,Poinsett County,24054,39.7,39277,19413,5123,597,21306,1149,707,23846,41
 Arkansas,Polk County,20163,43.7,37035,20176,4907,725,18538,91,1319,19076,287
 Arkansas,Pope County,63644,35,41914,22110,11117,1797,58030,1895,5563,59655,944
 Arkansas,Prairie County,8244,46.2,41846,24075,1266,235,7037,1073,61,8227,5
 Arkansas,Pulaski County,393463,36.9,50093,31359,65935,10020,222468,143508,24078,368327,8072
 Arkansas,Randolph County,17603,41.5,36870,21338,3127,300,16854,201,344,17124,67
 Arkansas,Saline County,118009,39.2,62152,29358,9928,2290,105202,8293,5451,113591,1635
 Arkansas,Scott County,10442,41,35509,17375,2282,433,9179,28,792,10217,132
 Arkansas,Searcy County,7923,47.6,36390,20709,1639,98,7421,54,183,7767,44
 Arkansas,Sebastian County,127461,37.5,43240,25084,25420,2905,95473,8877,17860,115215,5185
 Arkansas,Sevier County,17193,34.9,46667,20627,3570,409,10858,874,5703,14345,593
 Arkansas,Sharp County,17043,47.4,33708,20721,3616,311,16216,119,373,16876,63
 Arkansas,St. Francis County,26294,38.9,35356,17491,6052,752,10743,14624,708,25814,54
 Arkansas,Stone County,12446,49.8,36162,20496,2767,308,12024,9,236,12314,36
 Arkansas,Union County,39732,40.1,44000,24522,7876,1238,25485,12972,1540,38815,241
 Arkansas,Van Buren County,16684,47.9,36897,21622,3103,439,15996,81,508,16411,62
 Arkansas,Washington County,228529,31.8,49629,27823,37160,5087,177357,8149,38052,200948,6212
 Arkansas,White County,78804,36.6,43822,23747,12701,1965,71645,3206,3382,76020,654
 Arkansas,Woodruff County,6660,45.6,31023,21276,1608,248,4633,1845,12,6625,3
 Arkansas,Yell County,21573,39.3,42361,21584,3475,528,16956,542,4314,19156,556
 California,Alameda County,1643700,37.4,92574,44283,170884,45110,681725,177135,369061,1085639,283764
 California,Alpine County,1146,44.3,64688,29041,227,79,723,9,105,1096,15
 California,Amador County,37829,50.5,61198,30100,3323,1255,32989,790,5132,35449,1209
 California,Butte County,227075,37.1,48443,27537,44410,9085,186095,3477,36358,207779,9153
 California,Calaveras County,45235,52.1,58151,32494,5242,1116,41375,302,5297,42320,1212
 California,Colusa County,21464,35.1,56704,27336,2929,520,18854,362,12655,15417,2522
 California,Contra Costa County,1133247,39.4,93712,45524,102543,35563,648325,97333,288101,832022,152944
 California,Del Norte County,27424,38.6,45258,22832,5458,796,20958,785,5340,25234,925
 California,El Dorado County,186661,45.8,80582,40382,16537,5480,164202,1494,23631,166608,10070
 California,Fresno County,978130,32,51261,23284,232067,41276,627437,47372,515907,760490,82601
 California,Glenn County,27897,36.6,47395,21736,5152,806,23127,255,11504,22424,1601
 California,Humboldt County,135768,38,45528,26747,26957,5327,108784,1585,15360,127178,2978
 California,Imperial County,180216,32.4,45834,17590,41191,10782,115817,4591,151019,118875,27895
 California,Inyo County,18085,45.7,52874,31540,1792,447,14557,161,3927,16266,861
 California,Kern County,883053,31.5,52479,22553,187232,39056,663592,48179,465842,698464,60021
 California,Kings County,150075,31.7,53865,21186,28084,4855,98429,9687,81154,120832,9741
 California,Lake County,64148,45.6,42475,25404,13224,2556,49463,1562,12830,57816,2519
 California,Lassen County,31185,36,56362,21897,2933,570,25672,2738,5834,29211,506
 California,Los Angeles County,10098052,36.2,64251,32469,1589956,357178,5186859,823987,4893603,6523632,1784088
 California,Madera County,155013,33.9,52884,21394,30549,5243,111621,5026,88806,121943,9647
 California,Marin County,260295,46.5,110217,69275,19341,5149,203342,5709,41335,207993,22625
 California,Mariposa County,17540,51.4,51199,29776,2435,676,15579,166,1909,16167,517
 California,Mendocino County,87422,42.8,49233,27395,15877,3837,73121,531,21679,75244,3866
 California,Merced County,269075,30.9,50129,21634,59660,14912,154376,8772,158494,198058,26949
 California,Modoc County,8938,47.7,45149,23235,1435,274,8046,149,1292,8247,141
 California,Mono County,14174,38.3,63018,33421,1454,262,12017,105,3866,11509,674
 California,Monterey County,433212,34.1,66676,28836,58699,10475,256709,11200,252588,296260,35616
 California,Napa County,140530,41.1,84753,42677,11168,3728,102711,2867,47687,107178,14327
 California,Nevada County,99092,50.1,63240,37145,11169,2971,91579,655,9281,92214,2414
 California,Orange County,3164182,37.8,85398,39590,359503,84431,1950902,54732,1080195,2168262,513011
 California,Placer County,380077,41.9,84357,41508,30293,9005,313636,6197,52498,333534,26833
 California,Plumas County,18699,52.2,53270,32710,2146,516,16654,194,1629,17783,359
 California,Riverside County,2383286,35.3,63948,27142,345724,94709,1450134,153545,1154517,1836813,253466
 California,Sacramento County,1510023,36,63902,31311,235982,54551,875793,149064,347025,1173186,179058
 California,San Benito County,59416,35.5,81977,31475,5459,2294,48851,440,35248,46436,5145
 California,San Bernardino County,2135413,33.1,60164,23956,359080,85647,1305047,178404,1127813,1662026,220381
 California,San Diego County,3302833,35.6,74855,36156,403190,106962,2335447,166412,1106925,2463440,409424
 California,San Francisco County,870044,38.2,104552,64157,92979,25320,406538,45402,132651,551635,187928
 California,San Joaquin County,732212,34.1,61145,26145,114294,28989,411958,52023,301256,552552,82594
 California,San Luis Obispo County,281455,39.1,70699,35832,35303,6175,242078,5265,63002,248253,14089
 California,San Mateo County,765935,39.6,113776,57375,53387,17556,391024,17849,189002,485581,152898
 California,Santa Barbara County,443738,33.7,71657,34229,63010,13861,344026,8626,200060,336614,34429
 California,Santa Clara County,1922200,37,116178,52451,149850,49598,865460,48058,495455,1147414,395326
 California,Santa Cruz County,273765,37.4,78041,39001,37429,9027,208476,2596,91676,220505,18252
 California,Shasta County,179085,41.8,50905,27983,30186,4824,155840,2209,17605,168188,4815
 California,Sierra County,2930,55.5,48125,31972,241,60,2890,6,324,2865,26
 California,Siskiyou County,43540,48,44200,28130,8374,1440,36971,632,5336,40869,1242
 California,Solano County,438530,37.9,77609,33700,44427,15346,231149,61826,114406,340690,52113
 California,Sonoma County,501317,41.7,76753,39929,50714,13543,375519,7960,132985,411694,35440
 California,Stanislaus County,539301,34,57387,25101,86066,26130,408817,15534,245973,422739,49111
 California,Sutter County,95872,35.7,56955,26070,15181,4144,66752,2006,29354,72608,10771
 California,Tehama County,63373,40.9,42899,23126,13464,2484,54119,471,15623,57410,2474
 California,Trinity County,12862,51.8,38497,25964,2491,446,11136,87,930,12146,236
 California,Tulare County,460477,30.8,47518,20421,115786,18321,352259,7326,295149,354919,33077
 California,Tuolumne County,53932,48.4,56493,33685,6715,1516,47189,926,6527,51102,1639
 California,Ventura County,848112,37.9,84017,36891,80058,25853,680197,14835,360017,651889,90581
 California,Yolo County,214977,31,65923,32598,40583,6722,145778,5834,67809,161997,22284
 California,Yuba County,75493,32.5,52624,23867,13298,2648,56344,2432,20990,65126,4816
 Colorado,Adams County,497115,33.6,67575,28897,56588,11746,410132,16494,197279,414775,25628
 Colorado,Alamosa County,16444,30.4,39191,21328,3635,708,14297,191,7542,14834,520
 Colorado,Arapahoe County,636671,36.5,73925,38972,56802,15522,455987,67821,121355,530697,41440
 Colorado,Archuleta County,12908,50.6,50753,31035,1370,358,10810,249,2371,12029,419
 Colorado,Baca County,3563,47.7,37500,23862,661,41,3377,35,381,3416,49
 Colorado,Bent County,5809,41,34392,14777,912,119,5315,230,1858,5497,55
 Colorado,Boulder County,321030,36.2,78642,43831,38546,8716,284719,2827,44266,281254,14898
 Colorado,Broomfield County,66120,37.7,89624,47016,3296,1372,57355,770,8069,59024,3043
 Colorado,Chaffee County,19164,49.1,54580,29365,1807,246,17857,366,1935,18215,256
 Colorado,Cheyenne County,2039,35.9,55227,25234,228,68,1916,2,347,1867,68
 Colorado,Clear Creek County,9379,47.8,69936,40655,509,101,8880,103,618,8913,44
 Colorado,Conejos County,8142,39.4,34746,19545,1813,374,7349,36,4315,7898,68
 Colorado,Costilla County,3687,51.3,30593,20715,1111,161,3343,17,2307,3303,146
 Colorado,Crowley County,5630,35.6,37586,14988,1261,349,4978,206,1747,5259,6
 Colorado,Custer County,4640,58.4,44644,26976,703,98,4333,119,444,4439,114
 Colorado,Delta County,30346,47.6,44512,24886,5145,1010,28768,291,4595,28698,512
 Colorado,Denver County,693417,34.4,63793,41196,93728,16235,530278,64881,209859,574636,39981
 Colorado,Dolores County,1841,51.8,41714,24505,250,9,1780,0,108,1805,3
 Colorado,Douglas County,328614,38.4,115314,51017,11333,5418,293266,4460,27998,300108,13111
 Colorado,Eagle County,54357,36.5,84685,41064,3793,764,48258,525,16140,43525,2425
 Colorado,El Paso County,688153,34.1,65334,32348,72948,20584,547369,43282,115664,617385,24877
 Colorado,Elbert County,25162,46.1,96658,43349,1110,380,23476,122,1693,24282,348
 Colorado,Fremont County,47002,44.9,46296,21965,5547,905,42213,1935,6186,45195,632
 Colorado,Garfield County,58538,36.3,72898,32491,4662,1403,51120,234,16487,49244,2045
 Colorado,Gilpin County,5924,45.7,75120,48460,238,88,5566,15,548,5633,137
 Colorado,Grand County,15066,43.5,70469,34717,1691,470,14284,122,1273,13660,661
 Colorado,Gunnison County,16537,34.5,54979,30127,2084,589,15748,103,1532,15376,322
 Colorado,Hinsdale County,878,57.5,52188,34644,114,16,831,0,51,866,9
 Colorado,Huerfano County,6583,55.1,36705,25636,1024,112,6199,38,2274,6382,85
 Colorado,Jackson County,1296,50.9,48828,25467,202,15,1211,0,254,1213,36
 Colorado,Jefferson County,570427,40.4,78943,41930,41438,12071,517644,6639,87153,526200,19676
 Colorado,Kiowa County,1449,40.4,39784,24012,160,20,1333,17,78,1425,3
 Colorado,Kit Carson County,7635,38.5,51046,27471,705,184,6885,195,1466,7017,108
 Colorado,La Plata County,55101,39.9,64372,37864,4609,1250,48385,261,7028,52913,857
 Colorado,Lake County,7585,37.8,46918,28062,1232,240,6532,8,2346,6785,115
 Colorado,Larimer County,338161,35.9,67664,35390,39489,9383,309269,3275,38323,315827,8374
 Colorado,Las Animas County,14179,46.1,41945,25118,2426,500,12117,121,5963,13252,234
 Colorado,Lincoln County,5548,37.9,49423,16219,475,47,4812,532,1203,5251,28
 Colorado,Logan County,21689,38.4,48922,25776,3117,462,20060,202,3443,20580,161
 Colorado,Mesa County,149998,39.1,53683,28518,22978,5856,141076,1033,21629,142859,2905
 Colorado,Mineral County,823,58.6,61058,35229,99,7,728,18,79,815,8
 Colorado,Moffat County,13060,37.8,52807,27845,1796,265,12330,150,1983,12066,558
 Colorado,Montezuma County,25909,44.4,46797,25161,4140,597,21054,52,3222,25222,368
 Colorado,Montrose County,41268,45.1,48739,25803,6812,1306,38909,155,8476,38155,1405
 Colorado,Morgan County,28257,36.3,51626,24189,2787,611,24964,954,10147,24150,1113
 Colorado,Otero County,18325,40.2,34136,20109,4421,644,16346,251,7637,17180,304
 Colorado,Ouray County,4722,53,62230,36138,466,120,4599,0,201,4600,37
 Colorado,Park County,17392,50.6,66861,35939,947,513,16467,49,1051,16804,278
 Colorado,Phillips County,4318,39,50724,29236,282,36,4158,12,944,3749,169
 Colorado,Pitkin County,17909,42,71244,56180,1289,531,16316,297,1777,15619,787
 Colorado,Prowers County,12052,38,40097,21612,2218,443,11429,134,4532,10718,381
 Colorado,Pueblo County,164685,38.9,44634,24257,30467,6252,131054,3535,70637,157377,2468
 Colorado,Rio Blanco County,6465,35.9,55543,27057,701,160,6038,25,650,6229,44
 Colorado,Rio Grande County,11351,41.5,38639,22413,1890,468,10344,98,5046,10638,121
 Colorado,Routt County,24874,39.8,74273,40727,2640,451,23601,193,1740,22988,692
 Colorado,Saguache County,6468,49.1,34410,22901,1139,185,5944,0,2366,5732,247
 Colorado,San Juan County,544,52.1,46563,33984,25,9,537,0,48,521,18
 Colorado,San Miguel County,7968,41.5,64478,45396,708,135,7617,16,820,7144,239
 Colorado,Sedgwick County,2350,49.1,45188,25048,390,70,2165,30,319,2260,28
 Colorado,Summit County,30429,39.1,77589,38310,3075,714,27530,285,4352,26744,906
 Colorado,Teller County,24113,49.9,65382,34392,1980,791,22823,191,1532,22820,543
 Colorado,Washington County,4840,41.6,49375,26680,480,64,4636,67,474,4651,51
 Colorado,Weld County,295123,34.3,70908,30626,30574,6830,267514,3431,86322,266235,8786
 Colorado,Yuma County,10069,38.4,48394,25846,1438,134,9353,238,2311,8995,84
 Delaware,Kent County,174822,37.6,58775,28100,22968,4961,115960,44292,12180,161314,5031
 Delaware,New Castle County,555133,38.1,70996,35847,61530,18464,358183,138608,54071,483573,29690
 Delaware,Sussex County,219540,49,60853,33983,25300,5076,180762,26992,20064,201910,6752
 District of Columbia,District of Columbia,684498,33.9,82604,53321,109497,29373,280469,321317,74776,574033,40170
 Florida,Alachua County,263148,31.3,49078,27896,54072,8048,182692,52592,25229,230094,13328
 Florida,Baker County,27785,37.6,61769,24070,3664,628,23033,3810,674,27048,300
 Florida,Bay County,182482,39.4,51829,28017,26376,5215,148220,20018,11453,166387,5453
 Florida,Bradford County,26979,40.1,46197,20481,4743,586,20935,5353,1068,25954,439
 Florida,Brevard County,576808,47.2,54359,30987,72520,16291,476767,58100,57695,508859,31253
 Florida,Broward County,1909151,40.1,57333,31464,255214,67089,1167526,543471,554609,1204431,380507
 Florida,Calhoun County,14444,40.2,38609,18921,1509,357,11598,1812,837,13610,235
 Florida,Charlotte County,176954,58.6,49225,30528,19252,4794,159598,9735,12443,155646,10829
 Florida,Citrus County,143087,56.2,41424,25983,23437,4292,132656,4183,7873,132347,5191
 Florida,Clay County,207291,39.5,62653,29138,21831,7550,165931,21318,20037,186027,9571
 Florida,Collier County,363922,50.3,65675,43256,44308,7468,320642,25356,100061,267527,38800
 Florida,Columbia County,69105,40.7,44491,23901,11115,2711,53246,12256,4120,65622,1475
 Florida,DeSoto County,36399,40.6,35057,18311,9824,702,30464,4420,11352,30113,1647
 Florida,Dixie County,16437,47.3,38237,20527,3398,278,14240,1364,647,15885,224
 Florida,Duval County,924229,36.1,53473,30012,139758,31052,557139,273829,86184,799358,54735
 Florida,Escambia County,311522,37.2,49286,26730,40780,9373,212230,68361,17293,290817,8341
 Florida,Flagler County,107139,50.9,53872,27689,12575,2375,88531,11328,10828,90952,8645
 Florida,Franklin County,11736,45,42855,25037,2091,336,9476,1615,639,11242,174
 Florida,Gadsden County,46017,40.7,40922,20158,10482,1377,19100,25658,4659,42930,693
 Florida,Gilchrist County,17615,42.5,42357,21379,2906,440,16104,1110,998,16958,258
 Florida,Glades County,13363,47.2,39879,21020,2061,454,10627,1861,2790,11864,380
 Florida,Gulf County,16055,44.3,44291,21255,1900,452,12522,3011,760,15490,214
 Florida,Hamilton County,14269,41.5,34583,15097,3243,626,8649,4923,1332,13554,108
 Florida,Hardee County,27228,35.1,37594,18257,6775,637,22163,2111,11834,23530,1242
 Florida,Hendry County,40127,33.9,40728,18900,10584,1527,32150,4621,21219,28227,3388
 Florida,Hernando County,182696,48.9,46030,24551,25718,5275,163329,9307,23507,164148,9058
 Florida,Highlands County,102101,53.4,37314,23722,19331,3985,81423,9380,20005,87246,4403
 Florida,Hillsborough County,1378883,36.9,56137,31173,207962,43489,970497,229200,386478,1072918,115393
 Florida,Holmes County,19430,42.5,38608,18574,4486,790,17275,1330,533,18625,94
 Florida,Indian River County,150984,52.9,52336,35172,18162,4372,130147,13617,18512,133480,7890
 Florida,Jackson County,48472,41.6,39002,18882,8345,1591,33431,13140,2314,46350,518
 Florida,Jefferson County,14105,47.2,48173,23448,1662,273,8824,4868,565,13336,161
 Florida,Lafayette County,8744,39.1,39543,19870,1444,383,6916,1407,1263,7681,122
 Florida,Lake County,335362,46.8,51884,27052,41335,9478,278353,35268,50061,292426,18186
 Florida,Lee County,718679,48.1,54691,31924,98969,18842,609126,61829,149116,581442,55803
